user_id,nome,nome,responsavel,documento,telefone,email,cidade,uf,regiao,culturas,cluster,area_total,tipo_solo,praga_comum,safra_principal
user_113,Fazenda Horizonte do Lima,Fazenda Horizonte do Lima,Vinicius Lima,791.883.738-93,(50) 13501-3742,fazendahorizontedolima@agrocorp.com.br,Cidade AL,AL,Outra,Soja / Milho,PLATINUM,1000,Terra Roxa,Cigarrinha / Nematoides,Abr-Ago
user_114,Granja Esperança do Nascimento,Granja Esperança do Nascimento,Igor Nascimento,608.952.827-30,(73) 67268-0459,granjaesperançadonascimento@fazenda.com.br,Cidade PI,PI,Nordeste,Trigo,GOLD,2200,Latossolo Vermelho,Cigarrinha / Lagarta,Out-Mar
user_115,Agropecuária Lider da Melo,Agropecuária Lider da Melo,Olivia Melo,582.272.346-96,(65) 43663-6650,agropecuárialiderdamelo@ruraltec.com.br,Cidade MA,MA,Outra,Soja / Algodão,SILVER,2200,Neossolo,Ferrugem / Nematoides,Set-Fev
user_116,Agropecuária Verde da Costa,Agropecuária Verde da Costa,Helena Costa,071.884.667-30,(74) 56734-0551,agropecuáriaverdedacosta@ruraltec.com.br,Cidade PR,PR,Sul,Café,SILVER,2000,Argissolo,Cigarrinha / Ferrugem,Nov-Abr
user_117,Cooperativa Lider da Costa Agro,Cooperativa Lider da Costa Agro,Yasmin Costa,525.076.628-36,(62) 98535-5205,cooperativaliderdacostaagro@agrocorp.com.br,Cidade ES,ES,Outra,Algodão,DIAMOND,1500,Neossolo,Cigarrinha / Nematoides,Out-Mar
user_118,Agropecuária Horizonte do Gomes EIRELI,Agropecuária Horizonte do Gomes EIRELI,Rafael Gomes,563.321.615-83,(52) 81189-5222,agropecuáriahorizontedogomes@ruraltec.com.br,Cidade PA,PA,Norte,Cana-de-Açúcar,GOLD,700,Terra Roxa,Nematoides / Ferrugem,Abr-Ago
user_119,Fazenda Lider do Ribeiro,Fazenda Lider do Ribeiro,Igor Ribeiro,100.257.197-62,(38) 69043-8692,fazendaliderdoribeiro@fazenda.com.br,Cidade AL,AL,Outra,Cana-de-Açúcar,DIAMOND,3300,Latossolo Amarelo,Ferrugem / Percevejos,Nov-Abr
user_12,Sítio São João da Souza,Sítio São João da Souza,Daniela Souza,636.542.990-90,(29) 35465-3699,sítiosãojoãodasouza@fazenda.com.br,Rondonópolis,MT,Centro-Oeste,Café / Cana-de-Açúcar,SILVER,700,Latossolo Vermelho,Ferrugem / Cigarrinha,Set-Fev
user_120,Cooperativa Horizonte da Souza,Cooperativa Horizonte da Souza,Daniela Souza,851.069.908-06,(47) 71896-2780,cooperativahorizontedasouza@fazenda.com.br,Cidade BA,BA,Nordeste,Soja / Algodão,GOLD,1200,Terra Roxa,Lagarta / Percevejos,Set-Fev
user_121,Fazenda Horizonte do Ferreira,Fazenda Horizonte do Ferreira,Tatiana Ferreira,991.156.405-00,(18) 77284-0268,fazendahorizontedoferreira@ruraltec.com.br,Cidade RR,RR,Norte,Café,DIAMOND,1200,Terra Roxa,Ferrugem,Abr-Ago
user_122,Chácara Progresso da Gomes,Chácara Progresso da Gomes,Nicolas Gomes,517.115.754-10,(74) 90575-9750,chácaraprogressodagomes@ruraltec.com.br,Cidade PB,PB,Outra,Trigo / Algodão,DIAMOND,1300,Latossolo Amarelo,Nematoides,Set-Fev
user_123,Cooperativa Boa Vista da Ribeiro,Cooperativa Boa Vista da Ribeiro,Carlos Ribeiro,002.897.843-48,(86) 87165-6803,cooperativaboavistadaribeiro@fazenda.com.br,Cidade RO,RO,Outra,Milho / Soja,DIAMOND,1200,Neossolo,Lagarta / Cigarrinha,Set-Fev
user_124,Fazenda Boa Vista da Souza,Fazenda Boa Vista da Souza,Clara Souza,452.381.560-95,(33) 97359-9068,fazendaboavistadasouza@fazenda.com.br,Cidade RJ,RJ,Outra,Milho,PLATINUM,2200,Latossolo Vermelho,Nematoides / Ferrugem,Nov-Abr
user_125,Agropecuária Lider da Cardoso,Agropecuária Lider da Cardoso,Vinicius Cardoso,821.170.958-70,(61) 24344-4156,agropecuárialiderdacardoso@agrocorp.com.br,Cidade PR,PR,Sul,Trigo,SILVER,2400,Terra Roxa,Lagarta / Percevejos,Set-Fev
user_126,Sítio Horizonte do Rocha,Sítio Horizonte do Rocha,Tatiana Rocha,242.043.586-54,(12) 66647-1670,sítiohorizontedorocha@fazenda.com.br,Cidade RR,RR,Norte,Café,DIAMOND,3000,Terra Roxa,Percevejos / Ferrugem,Out-Mar
user_127,Cooperativa Progresso do Souza,Cooperativa Progresso do Souza,Olivia Souza,616.002.522-90,(77) 88697-3017,cooperativaprogressodosouza@fazenda.com.br,Cidade RO,RO,Outra,Cana-de-Açúcar,DIAMOND,1700,Latossolo Vermelho,Percevejos / Ferrugem,Out-Mar
user_128,Chácara Lider da Ribeiro,Chácara Lider da Ribeiro,Tatiana Ribeiro,939.507.871-62,(63) 12675-1773,chácaraliderdaribeiro@agrocorp.com.br,Cidade AC,AC,Outra,Café,GOLD,1100,Latossolo Amarelo,Percevejos / Lagarta,Abr-Ago
user_129,Cooperativa Ouro do Almeida Rural,Cooperativa Ouro do Almeida Rural,Gabriel Almeida,201.704.703-04,(22) 90271-9902,cooperativaourodoalmeidarural@agrocorp.com.br,Cidade CE,CE,Outra,Algodão / Soja,PLATINUM,1500,Latossolo Vermelho,Cigarrinha / Ferrugem,Set-Fev
user_13,Sítio Ouro do Lima,Sítio Ouro do Lima,Mariana Lima,800.652.158-93,(92) 33873-2961,sítioourodolima@fazenda.com.br,Cidade RO,RO,Outra,Algodão,DIAMOND,2900,Latossolo Vermelho,Nematoides / Ferrugem,Nov-Abr
user_130,Cooperativa Horizonte da Silva,Cooperativa Horizonte da Silva,Júlia Silva,804.055.158-26,(69) 20206-4192,cooperativahorizontedasilva@agrocorp.com.br,Cidade RS,RS,Outra,Cana-de-Açúcar,PLATINUM,1100,Argissolo,Nematoides,Set-Fev
user_131,Agropecuária Esperança da Rocha,Agropecuária Esperança da Rocha,Karen Rocha,713.935.519-28,(72) 18883-8919,agropecuáriaesperançadarocha@agrocorp.com.br,Cidade AL,AL,Outra,Soja / Milho,SILVER,1800,Argissolo,Cigarrinha / Percevejos,Abr-Ago
user_132,Chácara Esperança da Costa,Chácara Esperança da Costa,Igor Costa,002.252.309-15,(77) 63535-8739,chácaraesperançadacosta@fazenda.com.br,Sorriso,MS,Centro-Oeste,Algodão / Cana-de-Açúcar,DIAMOND,3100,Latossolo Vermelho,Nematoides,Nov-Abr
user_133,Sítio Esperança do Souza,Sítio Esperança do Souza,Vinicius Souza,622.004.396-42,(30) 52539-9578,sítioesperançadosouza@fazenda.com.br,Cidade SE,SE,Outra,Cana-de-Açúcar / Trigo,GOLD,1100,Latossolo Amarelo,Ferrugem / Lagarta,Abr-Ago
user_134,Sítio Esperança do Nascimento,Sítio Esperança do Nascimento,Tatiana Nascimento,652.136.798-90,(70) 26557-6950,sítioesperançadonascimento@fazenda.com.br,Cidade RO,RO,Outra,Milho / Trigo,DIAMOND,900,Terra Roxa,Cigarrinha,Abr-Ago
user_135,Chácara São João da Souza,Chácara São João da Souza,Olivia Souza,971.206.501-54,(12) 77930-0231,chácarasãojoãodasouza@fazenda.com.br,Cidade AC,AC,Outra,Cana-de-Açúcar / Trigo,GOLD,2400,Neossolo,Cigarrinha / Percevejos,Set-Fev
user_136,Chácara Progresso da Almeida,Chácara Progresso da Almeida,Rafael Almeida,357.942.423-09,(49) 19187-1084,chácaraprogressodaalmeida@agrocorp.com.br,Cidade AL,AL,Outra,Soja / Algodão,DIAMOND,2400,Terra Roxa,Percevejos / Lagarta,Out-Mar
user_137,Fazenda São João do Martins,Fazenda São João do Martins,Mariana Martins,732.748.618-20,(83) 62745-5025,fazendasãojoãodomartins@agrocorp.com.br,Cidade PI,PI,Nordeste,Soja / Milho,GOLD,2600,Latossolo Amarelo,Cigarrinha,Set-Fev
user_138,Cooperativa Progresso da Cardoso,Cooperativa Progresso da Cardoso,Vinicius Cardoso,289.571.222-91,(42) 61591-4444,cooperativaprogressodacardoso@ruraltec.com.br,Cidade PE,PE,Nordeste,Trigo,DIAMOND,1200,Terra Roxa,Percevejos / Lagarta,Nov-Abr
user_139,Chácara Lider do Pereira,Chácara Lider do Pereira,Mariana Pereira,377.496.541-27,(29) 31282-8855,chácaraliderdopereira@fazenda.com.br,Cidade DF,DF,Outra,Algodão,SILVER,1600,Latossolo Vermelho,Lagarta,Abr-Ago
user_14,Cooperativa Boa Vista da Ferreira,Cooperativa Boa Vista da Ferreira,Ana Ferreira,400.061.995-90,(42) 64558-0516,cooperativaboavistadaferreira@agrocorp.com.br,Rondonópolis,MS,Centro-Oeste,Algodão / Milho,GOLD,900,Terra Roxa,Cigarrinha / Percevejos,Nov-Abr
user_140,Chácara Esperança do Lima,Chácara Esperança do Lima,Vinicius Lima,992.897.506-49,(86) 90745-6907,chácaraesperançadolima@ruraltec.com.br,Cidade CE,CE,Outra,Algodão / Café,SILVER,1900,Argissolo,Lagarta / Nematoides,Abr-Ago
user_141,Sítio São João da Nascimento,Sítio São João da Nascimento,Helena Nascimento,481.214.981-22,(63) 85934-9293,sítiosãojoãodanascimento@agrocorp.com.br,Cidade RJ,RJ,Outra,Cana-de-Açúcar / Soja,PLATINUM,700,Terra Roxa,Lagarta / Cigarrinha,Out-Mar
user_142,Sítio Lider da Nascimento,Sítio Lider da Nascimento,Leonardo Nascimento,243.200.975-33,(33) 98157-4390,sítioliderdanascimento@ruraltec.com.br,Cidade PA,PA,Norte,Trigo / Cana-de-Açúcar,SILVER,2000,Terra Roxa,Ferrugem,Abr-Ago
user_143,Cooperativa Boa Vista da Pereira,Cooperativa Boa Vista da Pereira,Rafael Pereira,767.031.408-65,(30) 73311-0677,cooperativaboavistadapereira@ruraltec.com.br,Cidade MG,MG,Outra,Cana-de-Açúcar,GOLD,2900,Terra Roxa,Ferrugem,Out-Mar
user_144,Fazenda Esperança do Ferreira,Fazenda Esperança do Ferreira,Mariana Ferreira,900.321.674-15,(99) 63077-3662,fazendaesperançadoferreira@ruraltec.com.br,Cidade SC,SC,Outra,Café,PLATINUM,700,Terra Roxa,Ferrugem / Percevejos,Abr-Ago
user_145,Cooperativa Ouro da Cardoso,Cooperativa Ouro da Cardoso,Fernanda Cardoso,624.999.552-91,(71) 73669-7655,cooperativaourodacardoso@agrocorp.com.br,Cidade AL,AL,Outra,Café,DIAMOND,1800,Argissolo,Lagarta / Percevejos,Set-Fev
user_146,Agropecuária São João da Barbosa Agro,Agropecuária São João da Barbosa Agro,Bruno Barbosa,888.350.506-40,(40) 31687-6042,agropecuáriasãojoãodabarbosaagro@fazenda.com.br,Cidade ES,ES,Outra,Soja,GOLD,1700,Terra Roxa,Nematoides / Cigarrinha,Set-Fev
user_147,Sítio Verde do Silva,Sítio Verde do Silva,Mariana Silva,327.183.896-54,(39) 35278-9995,sítioverdedosilva@fazenda.com.br,Cidade AM,AM,Outra,Algodão / Trigo,GOLD,2500,Argissolo,Nematoides / Ferrugem,Nov-Abr
user_148,Sítio Ouro da Martins,Sítio Ouro da Martins,Olivia Martins,891.227.022-11,(20) 70874-5835,sítioourodamartins@fazenda.com.br,Cidade AL,AL,Outra,Algodão / Cana-de-Açúcar,SILVER,1700,Latossolo Vermelho,Nematoides,Nov-Abr
user_149,Agropecuária Boa Vista do Oliveira Agro,Agropecuária Boa Vista do Oliveira Agro,Nicolas Oliveira,992.644.136-59,(18) 42488-5010,agropecuáriaboavistadooliveiraagro@ruraltec.com.br,Cidade AL,AL,Outra,Milho / Café,GOLD,900,Terra Roxa,Lagarta / Cigarrinha,Set-Fev
user_15,Chácara Esperança da Gomes,Chácara Esperança da Gomes,Mariana Gomes,198.849.822-05,(74) 81204-1312,chácaraesperançadagomes@fazenda.com.br,Cidade DF,DF,Outra,Milho / Café,SILVER,2500,Terra Roxa,Nematoides / Lagarta,Set-Fev
user_150,Chácara Progresso do Pereira,Chácara Progresso do Pereira,Daniela Pereira,007.353.247-52,(72) 39911-9985,chácaraprogressodopereira@fazenda.com.br,Campo Grande,GO,Centro-Oeste,Cana-de-Açúcar,GOLD,1900,Terra Roxa,Nematoides / Percevejos,Abr-Ago
user_151,Agropecuária São João da Cardoso,Agropecuária São João da Cardoso,Ana Cardoso,762.440.376-52,(56) 55551-1876,agropecuáriasãojoãodacardoso@fazenda.com.br,Cidade AM,AM,Outra,Algodão / Soja,SILVER,1800,Latossolo Vermelho,Ferrugem / Cigarrinha,Out-Mar
user_152,Fazenda Esperança do Silva,Fazenda Esperança do Silva,Mariana Silva,261.719.957-06,(70) 37635-1311,fazendaesperançadosilva@ruraltec.com.br,Cidade AL,AL,Outra,Milho / Algodão,DIAMOND,800,Neossolo,Percevejos / Cigarrinha,Out-Mar
user_153,Granja Ouro do Costa,Granja Ouro do Costa,Fernanda Costa,524.302.118-98,(89) 32462-8558,granjaourodocosta@agrocorp.com.br,Cidade RN,RN,Nordeste,Soja,GOLD,2500,Latossolo Amarelo,Cigarrinha,Set-Fev
user_154,Granja Esperança do Costa,Granja Esperança do Costa,Yasmin Costa,596.256.532-31,(77) 13392-5363,granjaesperançadocosta@fazenda.com.br,Cidade MA,MA,Outra,Trigo,GOLD,2600,Neossolo,Ferrugem,Abr-Ago
user_155,Chácara Boa Vista da Pereira,Chácara Boa Vista da Pereira,Júlia Pereira,646.945.256-72,(95) 41763-6177,chácaraboavistadapereira@fazenda.com.br,Cidade RN,RN,Nordeste,Milho,PLATINUM,1600,Argissolo,Ferrugem / Percevejos,Abr-Ago
user_156,Sítio Lider do Barbosa,Sítio Lider do Barbosa,Carlos Barbosa,128.004.728-94,(75) 48587-0005,sítioliderdobarbosa@ruraltec.com.br,Cidade AP,AP,Outra,Trigo,PLATINUM,1700,Terra Roxa,Lagarta / Percevejos,Abr-Ago
user_157,Granja Verde da Ribeiro & Filhos,Granja Verde da Ribeiro & Filhos,Tatiana Ribeiro,956.255.492-01,(53) 81343-2009,granjaverdedaribeirofilhos@fazenda.com.br,Cidade PE,PE,Nordeste,Algodão,PLATINUM,1300,Argissolo,Ferrugem / Nematoides,Nov-Abr
user_158,Agropecuária Verde do Almeida & Filhos,Agropecuária Verde do Almeida & Filhos,Tatiana Almeida,102.537.457-88,(67) 59684-4741,agropecuáriaverdedoalmeidafilhos@fazenda.com.br,Cidade PB,PB,Outra,Café / Trigo,PLATINUM,1100,Latossolo Amarelo,Lagarta,Nov-Abr
user_159,Chácara Boa Vista da Costa,Chácara Boa Vista da Costa,Leonardo Costa,306.684.752-01,(21) 37719-7191,chácaraboavistadacosta@agrocorp.com.br,Cidade BA,BA,Nordeste,Trigo / Algodão,SILVER,1000,Neossolo,Cigarrinha / Nematoides,Abr-Ago
user_16,Fazenda Horizonte do Costa,Fazenda Horizonte do Costa,Clara Costa,633.902.103-10,(54) 10935-8943,fazendahorizontedocosta@agrocorp.com.br,Sorriso,MT,Centro-Oeste,Trigo / Milho,DIAMOND,2400,Latossolo Vermelho,Percevejos / Ferrugem,Set-Fev
user_160,Cooperativa Horizonte da Barbosa,Cooperativa Horizonte da Barbosa,Júlia Barbosa,678.889.162-37,(18) 62621-6221,cooperativahorizontedabarbosa@fazenda.com.br,Cidade AC,AC,Outra,Algodão / Trigo,DIAMOND,3400,Argissolo,Ferrugem / Nematoides,Set-Fev
user_161,Cooperativa Boa Vista do Ferreira,Cooperativa Boa Vista do Ferreira,Karen Ferreira,081.904.481-70,(50) 29040-7341,cooperativaboavistadoferreira@ruraltec.com.br,Cidade MA,MA,Outra,Café / Algodão,DIAMOND,900,Neossolo,Lagarta / Nematoides,Abr-Ago
user_162,Chácara Boa Vista do Almeida,Chácara Boa Vista do Almeida,Fernanda Almeida,529.721.053-86,(66) 49616-3739,chácaraboavistadoalmeida@ruraltec.com.br,Cidade RS,RS,Outra,Milho / Trigo,DIAMOND,3700,Argissolo,Lagarta / Percevejos,Nov-Abr
user_163,Sítio Esperança da Oliveira,Sítio Esperança da Oliveira,Daniela Oliveira,802.802.862-61,(94) 50813-1000,sítioesperançadaoliveira@fazenda.com.br,Cidade TO,TO,Outra,Trigo / Café,PLATINUM,1700,Neossolo,Lagarta / Ferrugem,Set-Fev
user_164,Sítio Verde do Costa,Sítio Verde do Costa,Samuel Costa,221.028.465-33,(28) 91910-9205,sítioverdedocosta@ruraltec.com.br,Cidade AP,AP,Outra,Algodão / Soja,SILVER,1900,Latossolo Vermelho,Percevejos,Abr-Ago
user_165,Chácara Ouro da Barbosa,Chácara Ouro da Barbosa,Clara Barbosa,978.001.600-56,(24) 27654-9094,chácaraourodabarbosa@agrocorp.com.br,Cidade RR,RR,Norte,Milho,GOLD,900,Argissolo,Cigarrinha / Lagarta,Abr-Ago
user_166,Fazenda Esperança da Rocha Rural,Fazenda Esperança da Rocha Rural,Paulo Rocha,310.750.632-07,(84) 92310-3744,fazendaesperançadarocharural@agrocorp.com.br,Cidade RS,RS,Outra,Soja,PLATINUM,900,Neossolo,Ferrugem / Lagarta,Abr-Ago
user_167,Cooperativa Verde do Ribeiro,Cooperativa Verde do Ribeiro,Olivia Ribeiro,476.239.493-05,(98) 84408-3485,cooperativaverdedoribeiro@ruraltec.com.br,Cidade PA,PA,Norte,Algodão,PLATINUM,700,Latossolo Vermelho,Percevejos,Abr-Ago
user_168,Sítio Progresso da Oliveira,Sítio Progresso da Oliveira,Nicolas Oliveira,952.865.509-06,(15) 45941-6829,sítioprogressodaoliveira@ruraltec.com.br,Cidade MA,MA,Outra,Milho / Algodão,GOLD,2100,Latossolo Amarelo,Ferrugem / Nematoides,Abr-Ago
user_169,Fazenda Boa Vista do Melo & Filhos,Fazenda Boa Vista do Melo & Filhos,Helena Melo,361.932.363-77,(99) 82266-5113,fazendaboavistadomelofilhos@ruraltec.com.br,Cidade RS,RS,Outra,Trigo,SILVER,1000,Latossolo Vermelho,Ferrugem / Lagarta,Set-Fev
user_17,Chácara Verde da Souza,Chácara Verde da Souza,Júlia Souza,166.807.636-44,(35) 23476-5140,chácaraverdedasouza@ruraltec.com.br,Cidade MA,MA,Outra,Soja / Café,DIAMOND,1400,Neossolo,Cigarrinha / Nematoides,Abr-Ago
user_170,Fazenda Horizonte da Souza Agro,Fazenda Horizonte da Souza Agro,Samuel Souza,892.502.605-86,(92) 89688-5812,fazendahorizontedasouzaagro@ruraltec.com.br,Cidade AP,AP,Outra,Algodão / Milho,SILVER,2500,Neossolo,Percevejos / Cigarrinha,Abr-Ago
user_171,Fazenda Horizonte da Souza,Fazenda Horizonte da Souza,Nicolas Souza,694.424.736-87,(93) 84236-6375,fazendahorizontedasouza@ruraltec.com.br,Cidade RO,RO,Outra,Café,GOLD,2300,Argissolo,Percevejos / Ferrugem,Abr-Ago
user_172,Agropecuária Verde da Martins,Agropecuária Verde da Martins,Ana Martins,397.371.229-22,(39) 23012-5305,agropecuáriaverdedamartins@agrocorp.com.br,Cidade PB,PB,Outra,Milho,SILVER,1000,Latossolo Vermelho,Ferrugem / Percevejos,Abr-Ago
user_173,Sítio Esperança do Rocha,Sítio Esperança do Rocha,Yasmin Rocha,641.325.242-91,(76) 73136-6314,sítioesperançadorocha@fazenda.com.br,Cidade AL,AL,Outra,Trigo / Milho,SILVER,1400,Terra Roxa,Cigarrinha,Out-Mar
user_174,Fazenda Verde do Nascimento,Fazenda Verde do Nascimento,Karen Nascimento,431.780.938-59,(39) 72183-4818,fazendaverdedonascimento@ruraltec.com.br,Cidade RO,RO,Outra,Cana-de-Açúcar / Trigo,SILVER,600,Neossolo,Ferrugem / Nematoides,Set-Fev
user_175,Granja Verde do Melo Agro,Granja Verde do Melo Agro,Olivia Melo,372.316.241-75,(25) 56954-1886,granjaverdedomeloagro@fazenda.com.br,Cidade PA,PA,Norte,Café,GOLD,1300,Latossolo Amarelo,Lagarta / Ferrugem,Set-Fev
user_176,Sítio Progresso do Lima,Sítio Progresso do Lima,Vinicius Lima,825.887.718-21,(69) 34712-6454,sítioprogressodolima@fazenda.com.br,Cidade DF,DF,Outra,Trigo / Soja,PLATINUM,1800,Latossolo Vermelho,Ferrugem,Set-Fev
user_177,Agropecuária Boa Vista do Barbosa,Agropecuária Boa Vista do Barbosa,Olivia Barbosa,006.930.558-00,(32) 23597-1079,agropecuáriaboavistadobarbosa@fazenda.com.br,Goiânia,GO,Centro-Oeste,Milho,SILVER,700,Terra Roxa,Cigarrinha / Ferrugem,Set-Fev
user_178,Cooperativa Horizonte da Pereira,Cooperativa Horizonte da Pereira,Vinicius Pereira,799.690.938-03,(87) 45640-9611,cooperativahorizontedapereira@fazenda.com.br,Cidade ES,ES,Outra,Trigo / Soja,DIAMOND,2700,Neossolo,Ferrugem / Cigarrinha,Set-Fev
user_179,Fazenda Verde da Almeida Comércio,Fazenda Verde da Almeida Comércio,Júlia Almeida,043.975.913-28,(44) 88946-9812,fazendaverdedaalmeidacomércio@agrocorp.com.br,Cidade RJ,RJ,Outra,Algodão,PLATINUM,1700,Neossolo,Percevejos / Cigarrinha,Abr-Ago
user_18,Agropecuária Verde do Ribeiro,Agropecuária Verde do Ribeiro,Júlia Ribeiro,094.526.042-27,(19) 62085-5795,agropecuáriaverdedoribeiro@ruraltec.com.br,Sorriso,MS,Centro-Oeste,Café / Cana-de-Açúcar,GOLD,1300,Latossolo Amarelo,Lagarta / Nematoides,Set-Fev
user_180,Chácara Ouro da Ribeiro,Chácara Ouro da Ribeiro,Yasmin Ribeiro,290.180.253-36,(78) 76473-1493,chácaraourodaribeiro@fazenda.com.br,Cidade CE,CE,Outra,Algodão,GOLD,1200,Latossolo Vermelho,Percevejos,Set-Fev
user_181,Granja Horizonte da Silva,Granja Horizonte da Silva,Leonardo Silva,198.488.618-37,(28) 67933-0101,granjahorizontedasilva@agrocorp.com.br,Cidade MA,MA,Outra,Algodão / Milho,SILVER,1500,Latossolo Amarelo,Lagarta / Ferrugem,Abr-Ago
user_182,Cooperativa Ouro da Gomes Agro,Cooperativa Ouro da Gomes Agro,Nicolas Gomes,731.957.398-64,(24) 85854-3082,cooperativaourodagomesagro@ruraltec.com.br,Cidade SE,SE,Outra,Café / Soja,DIAMOND,3200,Latossolo Vermelho,Percevejos / Nematoides,Set-Fev
user_183,Fazenda Boa Vista da Ribeiro,Fazenda Boa Vista da Ribeiro,Igor Ribeiro,463.814.014-94,(99) 75752-8208,fazendaboavistadaribeiro@agrocorp.com.br,Goiânia,MT,Centro-Oeste,Soja / Algodão,GOLD,1600,Neossolo,Cigarrinha / Percevejos,Abr-Ago
user_184,Chácara Ouro do Barbosa,Chácara Ouro do Barbosa,Ana Barbosa,163.088.882-44,(74) 33325-2439,chácaraourodobarbosa@agrocorp.com.br,Cidade BA,BA,Nordeste,Algodão / Cana-de-Açúcar,GOLD,2900,Neossolo,Cigarrinha / Nematoides,Abr-Ago
user_185,Chácara Lider do Pereira,Chácara Lider do Pereira,Paulo Pereira,822.100.421-55,(74) 99138-3134,chácaraliderdopereira@ruraltec.com.br,Cidade ES,ES,Outra,Algodão,PLATINUM,2000,Latossolo Amarelo,Ferrugem / Cigarrinha,Out-Mar
